"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias","AnaAprsTxPath","ARC4","ex_emg_kind"
"61","S1-World Wide","449.36250","444.36250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"62","S1-North America","449.36250","444.36250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"63","S1-World Wide En","449.36250","444.36250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Start Of Transmission","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"64","S1-NE Regional","449.36250","444.36250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"65","S1-TAC 310","449.36250","444.36250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"66","S1-TAC 311","449.36250","444.36250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"67","S1-TAC 312","449.36250","444.36250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"68","S1-DCI Bridge","449.36250","444.36250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"69","S1-LIMARC Local","449.36250","444.36250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"70","S1-Parrot Test","449.36250","444.36250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
